Log_Nr,Name,NORD_CHTOP,OST_CHTOPO,LV_03_E,LV_03_N
115,Bachmätteli 2,46.93996,7.39007,2596302.358,1198764.665
116,Ansermetplatz,46.94791,7.37808,2595390.112,1199649.118
117,Köniztal,46.90963,7.442463,2600291.776,1195391.685
118,Helvetiaplatz Monitoring,46.94359,7.44936,2600816.752,1199167.071
119,Rosalia-Wenger Platz Monitoring,46.96762,7.46401,2601931.321,1201838.749
122,"Waisenhausplatz II, vor Rest. Luce",46.94917,7.44437,2600436.792,1199787.368
124,Käfigturm,46.94826,7.44361,2600378.94,1199686.199
125,"Bärenplatz, Schachfeld",46.94734,7.44366,2600382.752,1199583.922
131,Marzili Beton,46.94238,7.44103,2600182.536,1199032.509
132,Marzili Entsiegelung,46.94222,7.4406,2600149.797,1199014.721
133,Marzili Rasen,46.94216,7.4408,2600165.025,1199008.051
141,Viererfeld 2 (Schacht),46.96271,7.43689,2599867.401,1201292.613
142,Viererfeld 3 (Strasse Süd),46.96286,7.44009,2600110.952,1201309.286
143,Viererfeld 4 (Strasse Nord),46.96523,7.44165,2600229.675,1201572.763
151,Ostermundigen BäreTower,46.95563,7.48114,2603235.663,1200506.358
152,Ostermundigen Moosweg,46.95813,7.48807,2603763,1200784.588
153,Ostermundigen Wegmühlegässli,46.95807,7.4937,2604191.537,1200778.198
154,Ostermundigen Oberfeld,46.9581,7.49792,2604512.745,1200781.764
155,Ostermundigen Milchstrasse,46.96241,7.48202,2603302.241,1201260.133
